管理番号,作家,間口,奥行,高さ,タイトル,価格,本文,"本文
文字数",,,,
3-18-186,柴田家千代作,70,40,57,"衣裳着親王収納飾りセット一式
高級会津塗り
※つるし飾りは別売になります。","268,400",人気の紫雲立涌のお殿様の衣裳と白い唐衣に金糸で刺繍が施されたお姫様です。高級会津塗りの収納飾り台にはおしゃれな夜桜の蒔絵が施されています。温かみのある行灯の灯りが上品に映ります。蚕の繭から作られた花びらが特徴の紅白梅がポイントです。,116,,,,
3-21-100,清水久遊作,50,30,27,"有職びな親王飾りセット一式
※つるし飾りと名前札は別売になります。","221,100",厳選された金襴衣裳を用いた高級感あふれるお雛様です。清水久遊の作品は繊細な感性で伝統と現代のモダンを融合させた清楚で華麗なお雛様です。小ぶりで上質なお雛様をお探しの方にはおすすめの一品です。,95,,,,
3-21-101,清水久遊作,45,30,41,"有職びな親王収納飾りセット一式
収納","237,600",清水久遊は宮廷の衣冠束帯・有職故実を独自に研究・創作し、本来の女児の節句にとどまらず、現代にマッチした装飾品や技巧品としての提案もしています。選び抜かれた裂地を使用し、裏打ちにはこうぞ和紙を使用して耐久性も考慮するなど、精度の高いお雛様を創作し続けています。,129,,,,
3-21-135,清水久遊作,45,30,42,"有職びな親王収納飾りセット一式
収納","238,700",清水久遊の作品の中では一番小さいサイズのお雛様です。厳選された絹織物の衣裳を使い小さくても見る者を魅了する清水久遊の世界観が感じられる作品です。飾り台の中にしまえる収納タイプにセットしました。モダンテイストが人気です。,109,,,,
3-21-057,清水久遊作,65,40,33,有職びな親王飾りセット一式,"257,400",清水久遊の作品の中でも人気の高いお雛様です。シンプルな金箔屛風に合わせるとなおさらお人形の良さが引き立ちます。清水久遊のお姫様は裾の綺麗な仕上げと重ねの色合わせなど一気に引き込まれる世界観で見る人を魅了します。,105,,,,
3-21-149,清水久遊作,65,38,32,"有職びな親王飾りセット一式
※名前札と観葉植物は付きません。","261,800",人気女流作家清水久遊が手掛けた饅頭菊柄の衣裳を身にまとった上品なお雛様です。長寿を願う「万寿菊」とも呼ばれ、不老長寿、無病息災の願いが込められた吉祥文様です。お姫様の後ろの灯りはデザインされた雪洞の変化形です。おしゃれ感満載のセットです。,119,,,,
3-21-110,清水久遊作,70,40,36,有職びな黄櫨染親王飾りセット一式,"271,700",天皇陛下だけが身につけられる赤茶色の装束がこの黄櫨染御袍。宮中祭祀で最も多く使われ、桐や竹、鳳凰や麒麟の文様が織り込まれ、平安時代の嵯峨天皇の頃には儀式などで天皇の装束として使われていたことが確認されています。この格式高い黄櫨染衣裳のお雛様です。,123,,,,
3-21-134,清水久遊作,67,35,55,"有職びな親王収納飾りセット一式
収納","273,900",毎年人気の高い雲立涌文様のお雛様です。雲立涌とは、地面から蒸気が立ち昇り、それが雲となってわき起こる様子を象った大変縁起の良い有職文様です。運気上昇の意味があり、高貴な人物の装束に用いられた格式高い柄です。,103,,,,
3-21-112,清水久遊作,70,40,30,"有職びな親王飾りセット一式
※名入れ旗と観葉植物は付きません。","276,100",清水久遊のひな人形は素材に厳選された裂地を使用しております。本物に限りなく近い仕立て方、着せ方で創られおり、平安王朝の雅、その優美さを鮮やかに余すことなく再現しています。お殿様、お姫様ともに鳳凰の柄のお衣裳を身にまとっています。,114,,,,
3-21-150,清水久遊作,70,40,36,"有職びな親王飾りセット一式
","279,400",平安時代黒色は赤よりも手間がかかるため、身分の高い人が着用する色でした。お殿様の衣裳では紫と並んで人気の高い色目が黒です。金屏風とも大変相性がよく、好対照の色合いでより引き立ちます。﻿お姫様に使った抹茶色の上着が差し色となって更に印象的に映ります。,124,,,,
3-21-165,清水久遊作,70,40,34,有職びな縫取親王飾りセット一式,"280,500",縫取とは織物の技法の一種で文様を表現するために地の糸とは異なる彩り豊かな緯糸（よこいと）を文様の必要な部分だけ往復しながら織り込むことを指します。刺繍に似ていますが、糸が浮き出して豪華な模様を表現するため、立体感と高級感があるのが特徴です。﻿,121,,,,
3-21-151,清水久遊作,65,41,59,"有職びな漆箔親王収納飾りセット一式
収納","282,150",鳥の子和紙に漆を塗って裁断し、糸状にしたものを織り込んでいる個性的な衣裳になります。光が当たることで輝きを放ち、上品な艶感で柄を表現しています。紺と朱の鮮やかな色彩が目に焼き付きます。,92,,,,
3-21-167,清水久遊作,70,40,35,有職びな帯地親王飾りセット一式,"299,200",清水久遊のお雛様は厳選された裂地を使用しております。本物に限りなく近い仕立て方と着せ付けで創られおり、平安王朝の雅、優美さを余すことなく再現しています。裏打ちには「こうぞ」を使用しており、繊細な中に耐久性を考慮しています。,111,,,,
3-21-153,清水久遊作,65,38,32,"有職びな唐織親王飾りセット一式
※つるし飾りは別売になります。","298,100",モスグリーンのお殿様は唐織の衣裳になります。立体感のある織り方が唐織の特徴で綾織の地に模様を浮き上がらせる「浮織」の技法で織られた最高級の絹織物です。室町時代後期に中国から伝来した織物が基となり日本で発達しました。刺繍のような立体感が特徴です。,122,,,,
3-21-177,清水久遊作,70,38,32,有職びな印伝親王飾りセット一式,"319,000",印伝とは、鹿革に漆で模様を施した日本の伝統工芸品です。インドの装飾革が由来で「印度伝来」から印伝と名付けられた説があり、軽くて丈夫な鹿革に施された漆の模様はぷっくりとした隆起が特徴です。清水久遊の素材選びには驚かされるばかりです。,115,,,,
3-21-176,清水久遊作,70,40,38,有職びな螺鈿親王飾りセット一式,"330,000",螺鈿とは、アワビなどの貝殻の真珠層を薄く加工した伝統的な技法のことです。その螺鈿細工を用いてできた反物からこのお雛様は作られています。螺鈿特有の青光りが高級感を与えてくれます。決して褪せることのない魅力がここにあります。,110,,,,
